Hotel name,Hotel url,Number of reviews,Tripadvisor rating,Rating regarding other hotels in the same city,Location rating,Cleanliness rating,Service rating,Value of money,Paid private parking nearby,Free high speed wifi,Fitness_center,Air conditioning,Minibar,Cable satellite TV,24-hour front desk,Non-smoking hotel,Express check-in / check-out,Baggage storage,Housekeeping,Safe,Family rooms,Count good words,Count bad words,Count total words,Great for walkers,Number of restaurants,Num of attractions
The Charles Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d276527-Reviews-The_Charles_Hotel-Prague_Bohemia.html,"1,052",4.0,4,95.78947,4.8,86.31776,4.3,1,1,0,1,1,1,1,1,1,1,1,1,0,14,1,13,100,213,195
4 Arts Suites,https://www.tripadvisor.com/Hotel_Review-g274707-d7394446-Reviews-4_Arts_Suites-Prague_Bohemia.html,442,4.5,4,98.780488,4.9,94.39024,4.7,0,1,0,0,0,0,0,1,1,1,1,1,0,8,0,8,100,563,307
Best Western City Hotel Moran,https://www.tripadvisor.com/Hotel_Review-g274707-d275497-Reviews-Best_Western_City_Hotel_Moran-Prague_Bohemia.html,968,4.0,4,81.982374,4.1,88.682508,4.4,0,1,0,1,0,0,1,1,0,1,1,0,0,16,0,16,100,135,72
Hotel Ametyst,https://www.tripadvisor.com/Hotel_Review-g274707-d276514-Reviews-Hotel_Ametyst-Prague_Bohemia.html,"1,139",4.0,4,78.347106,3.9,88.205128,4.4,0,1,0,0,1,0,1,1,1,1,1,1,0,18,1,17,98,151,51
Hotel Union,https://www.tripadvisor.com/Hotel_Review-g274707-d276606-Reviews-Hotel_Union-Prague_Bohemia.html,718,4.0,4,75.06072999999999,3.8,80.59925,4.0,1,1,0,1,1,0,1,1,0,1,0,1,1,12,7,5,90,52,35
Hotel Noir,https://www.tripadvisor.com/Hotel_Review-g274707-d2298869-Reviews-Hotel_Noir-Prague_Bohemia.html,507,4.0,4,83.720932,4.2,89.25764,4.5,0,1,0,1,0,0,0,1,1,1,1,1,0,13,1,12,100,290,164
Botanique Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d1479215-Reviews-Botanique_Hotel_Prague-Prague_Bohemia.html,"5,133",4.5,4,89.14862,4.5,94.03219999999999,4.7,0,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,100,149,49
Hotel Salvator,https://www.tripadvisor.com/Hotel_Review-g274707-d276685-Reviews-Hotel_Salvator-Prague_Bohemia.html,"1,590",4.5,4,95.923968,4.8,89.801588,4.5,1,1,0,0,1,0,1,1,0,1,1,1,1,20,0,20,100,388,173
Charles Central,https://www.tripadvisor.com/Hotel_Review-g274707-d1050859-Reviews-Charles_Central-Prague_Bohemia.html,"1,618",4.0,4,88.19004,4.4,82.056894,4.1,0,0,0,0,1,0,1,1,1,1,0,1,0,12,0,12,90,111,19
Hotel Residence Tabor,https://www.tripadvisor.com/Hotel_Review-g274707-d646147-Reviews-Hotel_Residence_Tabor-Prague_Bohemia.html,280,4.0,4,77.24137999999999,3.9,70.13158,3.5,0,1,0,0,0,0,1,1,0,1,0,1,0,10,2,8,91,143,59
Hotel Mucha,https://www.tripadvisor.com/Hotel_Review-g274707-d277217-Reviews-Hotel_Mucha-Prague_Bohemia.html,768,4.0,4,82.046786,4.1,81.061944,4.1,0,1,0,0,1,0,1,1,1,1,1,1,0,18,0,18,100,129,41
Holiday Inn Prague Airport,https://www.tripadvisor.com/Hotel_Review-g274707-d1212532-Reviews-Holiday_Inn_Prague_Airport-Prague_Bohemia.html,647,4.0,4,84.67433,4.2,88.57141999999999,4.4,0,1,0,1,1,0,1,1,0,1,1,1,0,4,0,4,,,
Charles Bridge Hostel & Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d2202493-Reviews-Charles_Bridge_Hostel_Apartments-Prague_Bohemia.html,597,4.5,4,99.28854,5.0,92.49042599999999,4.6,1,1,0,0,0,0,1,1,0,1,0,1,1,8,2,6,100,197,176
Theatrino Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d276516-Reviews-Theatrino_Hotel-Prague_Bohemia.html,"1,749",4.0,4,78.565894,3.9,86.41576799999999,4.3,0,1,0,1,1,0,1,1,0,1,0,1,0,6,2,4,91,161,71
The Granary,https://www.tripadvisor.com/Hotel_Review-g274707-d12164347-Reviews-The_Granary-Prague_Bohemia.html,76,4.0,4,81.33333199999998,4.1,86.315794,4.3,0,1,0,0,1,0,0,1,0,0,1,0,0,14,1,13,,,
Hotel Astra,https://www.tripadvisor.com/Hotel_Review-g274707-d276775-Reviews-Hotel_Astra-Prague_Bohemia.html,189,3.5,4,69.68421000000001,3.5,82.41758000000002,4.1,0,0,0,0,0,0,1,1,0,1,0,1,0,18,5,13,52,27,6
The Golden Wheel Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d319676-Reviews-The_Golden_Wheel_Hotel-Prague_Bohemia.html,777,4.5,4,94.73684,4.7,95.139666,4.8,1,1,0,1,1,0,1,1,1,1,1,1,0,19,4,15,100,152,113
Hotel U Pava,https://www.tripadvisor.com/Hotel_Review-g274707-d276677-Reviews-Hotel_U_Pava-Prague_Bohemia.html,467,4.0,4,97.216492,4.9,84.57447,4.2,1,1,0,1,1,0,1,1,0,1,0,1,0,9,3,6,100,198,200
The Viaduct - Suites & More,https://www.tripadvisor.com/Hotel_Review-g274707-d25190478-Reviews-The_Viaduct_Suites_More-Prague_Bohemia.html,1,5.0,4,100,5.0,100,5.0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,100,132,48
Hotel Atlantic,https://www.tripadvisor.com/Hotel_Review-g274707-d276682-Reviews-Hotel_Atlantic-Prague_Bohemia.html,"1,048",4.0,4,94.804124,4.7,84.37956,4.2,0,1,0,0,0,0,1,1,1,1,1,1,0,10,2,8,100,356,137
Hotel Expo,https://www.tripadvisor.com/Hotel_Review-g274707-d276648-Reviews-Hotel_Expo-Prague_Bohemia.html,225,3.5,4,65.87156,3.3,81.21739399999998,4.1,0,1,0,1,1,0,1,0,1,1,0,1,1,15,5,10,80,15,13
Hostel & Pension Downtown,https://www.tripadvisor.com/Hotel_Review-g274707-d1067001-Reviews-Hostel_Pension_Downtown-Prague_Bohemia.html,"1,601",4.5,4,96.1832,4.8,90.61225,4.5,0,1,0,0,0,0,1,1,0,1,0,1,1,11,1,10,100,514,265
Hostel Dakura,https://www.tripadvisor.com/Hotel_Review-g274707-d2244021-Reviews-Hostel_Dakura-Prague_Bohemia.html,206,3.5,4,77.288136,3.9,72.058826,3.6,1,1,0,0,0,0,1,1,1,1,1,1,0,16,0,16,100,93,19
EA Hotel New Town,https://www.tripadvisor.com/Hotel_Review-g274707-d17431905-Reviews-EA_Hotel_New_Town-Prague_Bohemia.html,41,4.0,4,96,4.8,92.5,4.6,0,1,0,0,0,0,0,0,0,0,0,1,0,7,1,6,100,409,248
Hotel Hoffmeister,https://www.tripadvisor.com/Hotel_Review-g274707-d275508-Reviews-Hotel_Hoffmeister-Prague_Bohemia.html,"1,083",4.5,4,91.04167000000001,4.6,93.39805999999999,4.7,0,1,0,1,1,0,0,1,0,1,0,1,1,14,5,9,100,41,38
Golden Prague Rooms,https://www.tripadvisor.com/Hotel_Review-g274707-d15873222-Reviews-Golden_Prague_Rooms-Prague_Bohemia.html,80,4.0,4,98,4.9,92,4.6,0,1,0,0,1,0,0,1,0,1,1,0,1,13,2,11,100,347,230
Hotel Liliova Prague Old Town,https://www.tripadvisor.com/Hotel_Review-g274707-d1500802-Reviews-Hotel_Liliova_Prague_Old_Town-Prague_Bohemia.html,412,4.0,4,98.12865199999999,4.9,82.3913,4.1,1,1,0,1,0,0,1,1,0,1,1,1,0,10,6,4,100,455,315
Allure Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d25105920-Reviews-Allure_Hotel_Prague-Prague_Bohemia.html,6,5.0,4,100,5.0,100,5.0,1,1,0,1,1,1,1,0,0,0,1,1,1,6,1,5,100,318,212
Hotel PurPur,https://www.tripadvisor.com/Hotel_Review-g274707-d1546504-Reviews-Hotel_PurPur-Prague_Bohemia.html,521,3.5,4,84.159288,4.2,72.80335,3.6,0,1,0,0,1,0,1,1,0,1,0,1,0,7,7,0,100,468,262
EA Hotel Tosca,https://www.tripadvisor.com/Hotel_Review-g274707-d315215-Reviews-EA_Hotel_Tosca-Prague_Bohemia.html,707,4.0,4,88.44622,4.4,82.5,4.1,0,1,0,1,1,0,1,1,0,1,0,1,0,20,3,17,100,289,93
Chill Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d12197074-Reviews-Chill_Apartments-Prague_Bohemia.html,79,4.5,4,93.33332999999999,4.7,95.71427999999999,4.8,0,1,0,1,0,0,0,1,0,0,0,1,1,20,0,20,100,375,205
Old Town Square Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d1755138-Reviews-Old_Town_Square_Apartments-Prague_Bohemia.html,605,4.0,4,94.87180000000001,4.7,84.17062,4.2,0,1,0,0,0,0,0,1,0,0,0,1,0,4,4,0,100,471,268
Oya,https://www.tripadvisor.com/Hotel_Review-g274707-d654124-Reviews-Oya-Prague_Bohemia.html,92,4.0,4,78.70968,3.9,85.29411400000001,4.3,0,1,0,1,0,0,1,1,0,1,1,1,0,14,0,14,66,39,4
Safestay Prague Charles Bridge Hostel,https://www.tripadvisor.com/Hotel_Review-g274707-d4573319-Reviews-Safestay_Prague_Charles_Bridge_Hostel-Prague_Bohemia.html,658,4.5,4,90.94737,4.5,84.77777400000001,4.2,0,1,0,0,0,0,1,1,0,1,0,1,1,6,1,5,100,468,220
The Charles Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d276527-Reviews-The_Charles_Hotel-Prague_Bohemia.html,"1,052",4.0,4,95.78947,4.8,86.31776,4.3,1,1,0,1,1,1,1,1,1,1,1,1,0,14,1,13,100,213,195
Cathedral Prague Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d4660133-Reviews-Cathedral_Prague_Apartments-Prague_Bohemia.html,273,4.5,4,98.30508,4.9,89.38775,4.5,0,1,0,0,0,0,0,1,0,0,0,1,0,12,0,12,100,607,384
Hotel U Tri Pstrosu,https://www.tripadvisor.com/Hotel_Review-g274707-d275503-Reviews-Hotel_U_Tri_Pstrosu-Prague_Bohemia.html,527,4.5,4,98.31858600000001,4.9,89.45945999999999,4.5,0,1,0,1,1,0,1,1,1,1,0,1,0,11,0,11,100,191,175
Monastery Garden Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d275244-Reviews-Monastery_Garden_Prague-Prague_Bohemia.html,775,4.0,4,94.876546,4.7,85.31791999999999,4.3,1,1,0,0,1,0,1,1,0,1,0,1,0,22,0,22,100,324,170
B&B Hotel Prague City,https://www.tripadvisor.com/Hotel_Review-g274707-d4555569-Reviews-B_B_Hotel_Prague_City-Prague_Bohemia.html,687,4.0,4,83.84106,4.2,89.1018,4.5,0,1,0,1,0,0,1,1,0,0,0,0,1,9,2,7,100,131,36
Revelton Studios Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d23854131-Reviews-Revelton_Studios_Prague-Prague_Bohemia.html,28,5.0,4,100,5.0,100,5.0,1,0,0,0,0,1,1,1,1,0,1,0,0,10,0,10,42,152,23
Botanique Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d1479215-Reviews-Botanique_Hotel_Prague-Prague_Bohemia.html,"5,132",4.5,4,89.14862,4.5,94.03219999999999,4.7,0,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,100,149,49
Old Town Square Residence by Emblem,https://www.tripadvisor.com/Hotel_Review-g274707-d488569-Reviews-Old_Town_Square_Residence_by_Emblem-Prague_Bohemia.html,532,4.5,4,98.18182,4.9,91.72414,4.6,0,1,0,0,1,0,0,1,1,1,0,1,0,9,1,8,100,641,400
City Nest,https://www.tripadvisor.com/Hotel_Review-g274707-d15598898-Reviews-City_Nest-Prague_Bohemia.html,172,4.5,4,95.71427999999999,4.8,98.823528,4.9,0,1,0,1,0,0,0,1,0,1,0,1,1,2,0,2,100,533,238
Republic Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d1657609-Reviews-1_Republic_Hotel-Prague_Bohemia.html,771,4.5,4,85.9366,4.3,92.49284,4.6,0,1,0,1,1,0,1,1,0,1,0,1,1,11,3,8,100,367,217
Hotel Metamorphis,https://www.tripadvisor.com/Hotel_Review-g274707-d277492-Reviews-Hotel_Metamorphis-Prague_Bohemia.html,777,4.5,4,98.241206,4.9,89.30875999999999,4.5,0,1,0,1,1,0,1,1,0,1,1,1,0,17,3,14,100,609,368
Botel Matylda,https://www.tripadvisor.com/Hotel_Review-g274707-d646397-Reviews-Botel_Matylda-Prague_Bohemia.html,744,4.5,4,93.68098,4.7,93.65079,4.7,0,1,0,1,1,0,1,1,0,1,0,0,0,8,1,7,100,158,84
Charles Bridge Hostel & Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d2202493-Reviews-Charles_Bridge_Hostel_Apartments-Prague_Bohemia.html,597,4.5,4,99.28854,5.0,92.49042599999999,4.6,1,1,0,0,0,0,1,1,0,1,0,1,1,8,2,6,100,197,176
Hotel Melantrich,https://www.tripadvisor.com/Hotel_Review-g274707-d280835-Reviews-Hotel_Melantrich-Prague_Bohemia.html,643,4.0,4,97.748346,4.9,83.31288,4.2,0,1,0,0,0,0,1,1,0,1,1,1,0,22,1,21,100,653,392
EA Hotel Embassy Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d1051896-Reviews-EA_Hotel_Embassy_Prague-Prague_Bohemia.html,629,4.0,4,80.99174,4.0,87.21992,4.4,0,1,0,1,1,0,1,1,0,1,0,1,1,16,3,13,100,186,57
Hotel Certovka,https://www.tripadvisor.com/Hotel_Review-g274707-d282040-Reviews-Hotel_Certovka-Prague_Bohemia.html,439,4.5,4,97.6,4.9,89.47917000000001,4.5,1,1,0,1,1,0,1,1,0,1,0,1,0,11,2,9,100,194,193
Alveo Suites,https://www.tripadvisor.com/Hotel_Review-g274707-d12353247-Reviews-Alveo_Suites-Prague_Bohemia.html,117,4.5,4,93.91304,4.7,92.5,4.6,0,1,0,0,0,0,0,1,0,0,0,1,0,8,6,2,100,266,82
Narodni Stay,https://www.tripadvisor.com/Hotel_Review-g274707-d13353015-Reviews-Narodni_Stay-Prague_Bohemia.html,49,4.0,4,66.666666,3.3,84,4.2,0,1,0,1,0,0,0,1,0,1,1,0,0,11,0,11,100,576,294
The Viaduct - Suites & More,https://www.tripadvisor.com/Hotel_Review-g274707-d25190478-Reviews-The_Viaduct_Suites_More-Prague_Bohemia.html,1,5.0,4,100,5.0,100,5.0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,100,132,48
Clarion Hotel Prague Old Town,https://www.tripadvisor.com/Hotel_Review-g274707-d530391-Reviews-Clarion_Hotel_Prague_Old_Town-Prague_Bohemia.html,853,4.0,4,89.04762,4.5,83.597126,4.2,0,1,0,1,1,0,1,1,1,1,0,1,1,7,1,6,100,278,123
Hotel Restaurant Darwin,https://www.tripadvisor.com/Hotel_Review-g274707-d3591970-Reviews-Hotel_Restaurant_Darwin-Prague_Bohemia.html,53,4.0,4,74.444446,3.7,89.41176,4.5,0,1,0,0,0,0,0,1,1,1,1,1,0,21,2,19,,,
Hotel Aura Design & Garden Pool,https://www.tripadvisor.com/Hotel_Review-g274707-d12865075-Reviews-Hotel_Aura_Design_Garden_Pool-Prague_Bohemia.html,34,3.5,4,45.714287999999996,2.3,61.81818,3.1,0,1,1,0,0,1,1,1,0,1,1,1,1,14,4,10,,,
Hotel Brixen Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d611056-Reviews-Hotel_Brixen_Prague-Prague_Bohemia.html,"1,359",4.0,4,88.93048,4.4,85.274724,4.3,0,1,0,0,1,0,1,1,0,1,0,1,1,17,0,17,100,314,175
Hotel Trevi,https://www.tripadvisor.com/Hotel_Review-g274707-d1858795-Reviews-Hotel_Trevi-Prague_Bohemia.html,353,4.0,4,86.85082,4.3,80.45197399999999,4.0,0,0,0,0,1,0,1,1,1,1,0,1,0,9,2,7,100,272,88
Penzion Sofi,https://www.tripadvisor.com/Hotel_Review-g274707-d9734323-Reviews-Penzion_Sofi-Prague_Bohemia.html,21,4.5,4,75,3.8,100,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,1,20,37,63,6
Hotel Kampa-Stara Zbrojnice,https://www.tripadvisor.com/Hotel_Review-g274707-d275499-Reviews-Hotel_Kampa_Stara_Zbrojnice-Prague_Bohemia.html,993,4.0,4,92.56674000000001,4.6,84.484128,4.2,0,1,0,0,1,0,1,1,0,0,0,1,1,24,2,22,100,130,95
Clown and Bard,https://www.tripadvisor.com/Hotel_Review-g274707-d283022-Reviews-Clown_and_Bard-Prague_Bohemia.html,289,4.0,4,72.826086,3.6,65.176472,3.3,0,1,0,0,0,0,1,1,0,1,0,1,1,11,3,8,100,150,91
Hotel Kinsky Garden,https://www.tripadvisor.com/Hotel_Review-g274707-d276550-Reviews-Hotel_Kinsky_Garden-Prague_Bohemia.html,"1,346",4.0,4,84.33377999999999,4.2,89.24324,4.5,0,1,0,0,0,0,1,1,0,1,1,1,1,17,0,17,100,111,50
Royal Road Residence,https://www.tripadvisor.com/Hotel_Review-g274707-d1133183-Reviews-Royal_Road_Residence-Prague_Bohemia.html,222,4.0,4,95.74467999999999,4.8,77.222224,3.9,0,1,0,0,0,0,0,1,0,1,0,0,1,14,0,14,100,448,326
Arkada Hotel Praha,https://www.tripadvisor.com/Hotel_Review-g274707-d1055659-Reviews-Arkada_Hotel_Praha-Prague_Bohemia.html,238,4.0,4,86.846848,4.3,90.297032,4.5,0,1,0,0,1,0,1,1,0,1,0,1,0,16,4,12,100,368,197
Ramada Prague City Centre,https://www.tripadvisor.com/Hotel_Review-g274707-d281715-Reviews-Ramada_Prague_City_Centre-Prague_Bohemia.html,"1,120",4.0,4,95.02091999999999,4.8,82.79926,4.1,0,1,0,1,1,1,1,1,0,1,1,1,1,17,0,17,100,368,179
Pension 15,https://www.tripadvisor.com/Hotel_Review-g274707-d283095-Reviews-Pension_15-Prague_Bohemia.html,87,3.5,4,75.348834,3.8,69.33333400000001,3.5,0,1,0,0,0,0,0,1,0,1,0,1,1,13,1,12,100,137,87
Residence Select Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d277220-Reviews-Residence_Select_Prague-Prague_Bohemia.html,348,3.5,4,80.888892,4.0,77.185932,3.9,0,1,0,1,0,0,1,1,1,1,0,1,1,6,5,1,100,280,163
Six Continents,https://www.tripadvisor.com/Hotel_Review-g274707-d5237838-Reviews-Six_Continents-Prague_Bohemia.html,127,4.5,4,99.2,5.0,94.58332999999999,4.7,1,1,0,0,0,0,1,1,1,1,1,1,1,6,4,2,100,578,373
The Charles Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d276527-Reviews-The_Charles_Hotel-Prague_Bohemia.html,"1,052",4.0,4,95.78947,4.8,86.31776,4.3,1,1,0,1,1,1,1,1,1,1,1,1,0,14,1,13,100,213,195
Brix Bar and Hostel,https://www.tripadvisor.com/Hotel_Review-g274707-d10359463-Reviews-Brix_Bar_and_Hostel-Prague_Bohemia.html,117,4.5,4,90.47618800000001,4.5,93.6,4.7,0,1,0,1,0,1,1,1,1,1,1,0,0,17,1,16,89,114,46
Assenzio,https://www.tripadvisor.com/Hotel_Review-g274707-d777447-Reviews-Assenzio-Prague_Bohemia.html,736,4.0,4,72.754716,3.6,85.36586,4.3,0,1,0,1,1,0,1,1,1,1,0,1,1,20,2,18,100,113,47
Vinohradsky dum,https://www.tripadvisor.com/Hotel_Review-g274707-d10465276-Reviews-Vinohradsky_dum-Prague_Bohemia.html,196,5.0,4,96.2963,4.8,99.31034,5.0,0,1,0,1,1,1,0,1,0,1,0,1,0,10,0,10,100,326,180
Salvator Superior Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d5235832-Reviews-Salvator_Superior_Apartments-Prague_Bohemia.html,698,4.5,4,95.50264,4.8,93.01266,4.7,1,1,0,0,0,0,0,1,0,1,0,1,0,15,1,14,100,376,178
Numa I Flow Rooms & Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d6390666-Reviews-Numa_I_Flow_Rooms_Apartments-Prague_Bohemia.html,"1,047",5.0,4,92.47934000000001,4.6,97.52000000000001,4.9,0,1,0,0,0,0,1,1,0,1,1,1,0,4,0,4,100,191,108
Botanique Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d1479215-Reviews-Botanique_Hotel_Prague-Prague_Bohemia.html,"5,133",4.5,4,89.14862,4.5,94.03219999999999,4.7,0,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,100,149,49
Betlem Club,https://www.tripadvisor.com/Hotel_Review-g274707-d277480-Reviews-Betlem_Club-Prague_Bohemia.html,325,4.0,4,98,4.9,82.1519,4.1,1,1,0,1,0,0,1,1,0,1,1,1,0,12,1,11,100,568,314
